epoch,Train_Loss,Val_AUC
0,0.6866947686085936,60.15538290788014
1,0.655199688966157,62.15316315205327
2,0.666917909852794,62.93007769145393
3,0.6427141691817612,63.54051054384018
4,0.6473514852953739,64.73362930077691
5,0.6453025306834549,63.98446170921199
6,0.6311351862110075,65.70477247502775
7,0.6655632970763035,65.37180910099889
8,0.6442313057477357,65.95449500554939
9,0.6145175807788724,66.25971143174252
10,0.6138497591018677,65.56603773584906
11,0.6036272146662728,66.06548279689235
12,0.603228039428836,66.3984461709212
13,0.6138887361424868,66.64816870144284
14,0.5883638316490611,66.842397336293
15,0.5954903334867759,67.67480577136516
16,0.5965740324043837,67.86903440621532
17,0.5721109900318209,68.14650388457268
